"Edad","Genero","CasaPropia","EstadoCiv","Ubicación","Salario","Niños","Historia","Catalogos","MontoDinero","","Salario","MontoDinero"
"Mayor","Hombre","Alquilada","Soltero","Cerca","56300","0","Media","6","873","","56300","873"
"Joven","Mujer","Alquilada","Soltero","Cerca","14800","1","Baja","6","209","","14800","209"
"Mayor","Hombre","Propia","Casado","Cerca","58300","0","Media","24","1472","","58300","1472"
"Adulto","Hombre","Propia","Soltero","Lejos","70200","0","Alta","12","1702","","70200","1702"
"Mayor","Hombre","Propia","Casado","Lejos","59700","0","Alta","18","1857","","59700","1857"
"Joven","Hombre","Alquilada","Soltero","Cerca","25800","0","NA","6","451","","25800","451"
"Joven","Mujer","Alquilada","Soltero","Cerca","12000","0","Baja","24","344","","12000","344"
"Adulto","Hombre","Alquilada","Soltero","Lejos","51900","0","Alta","18","1492","","51900","1492"
"Adulto","Mujer","Propia","Soltero","Lejos","66800","3","NA","24","2098","","66800","2098"
"Adulto","Hombre","Propia","Casado","Cerca","105300","1","NA","18","3505","","105300","3505"
"Joven","Mujer","Alquilada","Soltero","Lejos","13800","3","Baja","6","127","","13800","127"
"Joven","Hombre","Alquilada","Soltero","Cerca","14800","3","NA","12","436","","14800","436"
"Adulto","Mujer","Propia","Casado","Lejos","44200","0","Alta","24","2524","","44200","2524"
"Joven","Hombre","Alquilada","Soltero","Cerca","10400","0","NA","18","189","","10400","189"
"Adulto","Mujer","Propia","Soltero","Cerca","35200","0","Media","12","607","","35200","607"
"Joven","Mujer","Alquilada","Soltero","Lejos","16100","0","NA","6","202","","16100","202"
"Adulto","Hombre","Propia","Casado","Cerca","113000","2","Media","18","1554","","113000","1554"
"Adulto","Hombre","Propia","Casado","Cerca","63300","2","NA","6","633","","63300","633"
"Joven","Hombre","Alquilada","Soltero","Cerca","19100","0","NA","6","176","","19100","176"
"Adulto","Mujer","Propia","Casado","Cerca","93400","2","NA","24","3079","","93400","3079"
"Mayor","Mujer","Alquilada","Casado","Lejos","52500","0","Alta","24","2038","","52500","2038"
"Adulto","Mujer","Alquilada","Casado","Lejos","45400","3","Media","24","1203","","45400","1203"
"Joven","Mujer","Propia","Soltero","Lejos","21400","3","NA","6","326","","21400","326"
"Adulto","Mujer","Propia","Soltero","Cerca","53700","3","Baja","12","235","","53700","235"
"Joven","Mujer","Propia","Casado","Lejos","68000","0","Alta","24","3688","","68000","3688"
"Joven","Hombre","Alquilada","Soltero","Cerca","17400","0","NA","12","332","","17400","332"
"Joven","Mujer","Alquilada","Soltero","Cerca","14600","1","Baja","6","143","","14600","143"
"Mayor","Mujer","Propia","Casado","Lejos","100100","0","Alta","12","3104","","100100","3104"
"Adulto","Hombre","Propia","Casado","Lejos","103700","1","Alta","24","2339","","103700","2339"
"Joven","Mujer","Alquilada","Soltero","Lejos","10800","3","Baja","6","123","","10800","123"
"Adulto","Mujer","Propia","Casado","Cerca","81700","3","Baja","24","879","","81700","879"
"Mayor","Mujer","Alquilada","Soltero","Cerca","21400","0","Baja","18","498","","21400","498"
"Mayor","Mujer","Propia","Casado","Cerca","114800","0","Alta","18","3596","","114800","3596"
"Mayor","Mujer","Propia","Casado","Lejos","67900","0","Alta","24","2925","","67900","2925"
"Adulto","Hombre","Propia","Casado","Cerca","53700","1","NA","12","1081","","53700","1081"
"Joven","Mujer","Alquilada","Soltero","Lejos","11400","3","NA","12","312","","11400","312"
"Joven","Hombre","Alquilada","Casado","Cerca","34300","3","NA","12","1297","","34300","1297"
"Joven","Mujer","Alquilada","Soltero","Cerca","16400","1","Baja","12","218","","16400","218"
"Adulto","Mujer","Propia","Casado","Lejos","109800","0","Alta","18","4279","","109800","4279"
"Adulto","Hombre","Propia","Soltero","Cerca","64200","0","Alta","18","1642","","64200","1642"
"Joven","Hombre","Alquilada","Soltero","Cerca","17000","0","NA","18","581","","17000","581"
"Adulto","Mujer","Alquilada","Soltero","Cerca","41400","3","Baja","6","223","","41400","223"
"Adulto","Mujer","Propia","Soltero","Cerca","49100","2","Baja","6","474","","49100","474"
"Mayor","Mujer","Propia","Soltero","Lejos","42600","0","Alta","24","1790","","42600","1790"
"Joven","Mujer","Alquilada","Soltero","Cerca","11900","1","Baja","6","143","","11900","143"
"Adulto","Hombre","Propia","Casado","Lejos","113600","2","Alta","18","3237","","113600","3237"
"Adulto","Hombre","Propia","Soltero","Cerca","52900","1","NA","24","2316","","52900","2316"
"Joven","Mujer","Alquilada","Soltero","Cerca","14300","1","NA","18","458","","14300","458"
"Joven","Hombre","Alquilada","Soltero","Cerca","21000","0","Baja","24","646","","21000","646"
"Adulto","Hombre","Propia","Soltero","Lejos","59600","2","Media","18","1217","","59600","1217"
"Adulto","Mujer","Alquilada","Soltero","Cerca","39700","3","Baja","12","238","","39700","238"
"Mayor","Hombre","Propia","Casado","Cerca","51200","0","Media","12","1293","","51200","1293"
"Adulto","Mujer","Propia","Casado","Cerca","88200","0","NA","24","2749","","88200","2749"
"Adulto","Hombre","Propia","Casado","Lejos","122100","0","Alta","12","2408","","122100","2408"
"Mayor","Mujer","Alquilada","Casado","Cerca","84800","0","Alta","18","2624","","84800","2624"
"Adulto","Hombre","Propia","Casado","Lejos","140000","0","Alta","12","4894","","140000","4894"
"Mayor","Mujer","Propia","Soltero","Cerca","28500","0","Baja","24","621","","28500","621"
"Adulto","Hombre","Alquilada","Soltero","Cerca","60300","0","Alta","6","701","","60300","701"
"Joven","Mujer","Alquilada","Casado","Lejos","51900","0","NA","6","780","","51900","780"
"Adulto","Hombre","Propia","Soltero","Cerca","60200","0","Media","12","1365","","60200","1365"
"Adulto","Hombre","Propia","Casado","Lejos","81200","0","Alta","12","2693","","81200","2693"
"Mayor","Hombre","Propia","Casado","Cerca","73100","0","Alta","6","1582","","73100","1582"
"Mayor","Hombre","Propia","Soltero","Cerca","45700","0","Media","18","724","","45700","724"
"Mayor","Mujer","Alquilada","Soltero","Cerca","28900","0","Baja","12","830","","28900","830"
"Joven","Mujer","Alquilada","Casado","Cerca","60100","0","NA","18","1594","","60100","1594"
"Adulto","Mujer","Propia","Casado","Cerca","84800","1","NA","12","1826","","84800","1826"
"Mayor","Mujer","Propia","Casado","Cerca","35000","0","Media","6","473","","35000","473"
"Joven","Mujer","Alquilada","Casado","Cerca","61700","0","NA","12","1161","","61700","1161"
"Mayor","Mujer","Alquilada","Casado","Cerca","46900","0","Media","6","703","","46900","703"
"Adulto","Mujer","Propia","Casado","Cerca","123600","1","NA","12","1892","","123600","1892"
"Joven","Hombre","Alquilada","Casado","Cerca","45800","0","Media","6","489","","45800","489"
"Adulto","Hombre","Propia","Casado","Lejos","77800","1","Alta","18","1813","","77800","1813"
"Adulto","Mujer","Propia","Soltero","Cerca","48700","1","NA","12","1457","","48700","1457"
"Adulto","Mujer","Alquilada","Soltero","Lejos","39000","3","Baja","6","292","","39000","292"
"Joven","Mujer","Alquilada","Casado","Cerca","40000","0","NA","6","613","","40000","613"
"Adulto","Mujer","Alquilada","Casado","Cerca","118300","1","NA","18","2681","","118300","2681"
"Joven","Mujer","Propia","Soltero","Cerca","27100","2","Baja","24","437","","27100","437"
"Adulto","Mujer","Alquilada","Casado","Cerca","91000","2","Media","6","708","","91000","708"
"Adulto","Mujer","Propia","Casado","Cerca","35300","0","Media","24","1093","","35300","1093"
"Joven","Mujer","Alquilada","Soltero","Lejos","10200","2","Baja","18","213","","10200","213"
"Joven","Mujer","Alquilada","Soltero","Cerca","12500","1","Baja","6","202","","12500","202"
"Mayor","Mujer","Propia","Soltero","Cerca","64600","0","NA","6","1298","","64600","1298"
"Adulto","Hombre","Propia","Casado","Lejos","113800","0","NA","12","3273","","113800","3273"
"Adulto","Hombre","Propia","Casado","Lejos","113400","3","Alta","18","1790","","113400","1790"
"Joven","Mujer","Alquilada","Soltero","Cerca","16900","1","Baja","6","247","","16900","247"
"Joven","Mujer","Alquilada","Soltero","Cerca","13600","1","Baja","6","183","","13600","183"
"Adulto","Hombre","Propia","Casado","Lejos","100100","1","Alta","24","3491","","100100","3491"
"Mayor","Mujer","Propia","Casado","Lejos","80000","0","Alta","6","1985","","80000","1985"
"Adulto","Hombre","Propia","Casado","Cerca","83900","0","Alta","24","1721","","83900","1721"
"Adulto","Hombre","Propia","Casado","Cerca","77000","0","Alta","12","2104","","77000","2104"
"Adulto","Mujer","Alquilada","Casado","Cerca","72900","3","Baja","6","252","","72900","252"
"Joven","Hombre","Alquilada","Casado","Cerca","80700","3","Baja","6","202","","80700","202"
"Joven","Mujer","Alquilada","Casado","Cerca","40900","1","Media","18","962","","40900","962"
"Joven","Mujer","Alquilada","Soltero","Cerca","26700","1","NA","12","459","","26700","459"
"Adulto","Hombre","Propia","Casado","Cerca","54700","0","Media","18","848","","54700","848"
"Mayor","Mujer","Alquilada","Casado","Cerca","23600","1","Baja","6","161","","23600","161"
"Adulto","Hombre","Alquilada","Soltero","Lejos","56900","0","Alta","24","1857","","56900","1857"
"Adulto","Hombre","Propia","Soltero","Lejos","68700","1","NA","24","1699","","68700","1699"
"Joven","Mujer","Alquilada","Soltero","Cerca","19300","1","Baja","24","308","","19300","308"
"Joven","Hombre","Alquilada","Casado","Lejos","20200","1","Baja","24","500","","20200","500"
"Adulto","Mujer","Alquilada","Casado","Lejos","61500","3","Media","24","1162","","61500","1162"
"Adulto","Mujer","Propia","Casado","Lejos","101700","1","NA","24","2551","","101700","2551"
"Adulto","Mujer","Alquilada","Casado","Lejos","120800","1","Alta","24","5830","","120800","5830"
"Joven","Mujer","Alquilada","Soltero","Lejos","17300","1","Baja","18","381","","17300","381"
"Joven","Mujer","Alquilada","Casado","Cerca","42300","0","NA","6","856","","42300","856"
"Adulto","Hombre","Alquilada","Soltero","Cerca","53300","0","Media","18","1720","","53300","1720"
"Adulto","Mujer","Alquilada","Soltero","Cerca","42800","0","Media","12","759","","42800","759"
"Adulto","Hombre","Propia","Casado","Cerca","98400","0","Alta","18","3305","","98400","3305"
"Adulto","Mujer","Propia","Soltero","Cerca","51200","0","Media","18","1257","","51200","1257"
"Mayor","Hombre","Propia","Soltero","Cerca","62200","0","NA","12","1583","","62200","1583"
"Adulto","Hombre","Propia","Casado","Cerca","109200","3","Baja","24","1102","","109200","1102"
"Joven","Mujer","Alquilada","Soltero","Cerca","11400","2","NA","6","186","","11400","186"
"Joven","Mujer","Alquilada","Soltero","Cerca","14000","0","Baja","12","229","","14000","229"
"Mayor","Mujer","Alquilada","Casado","Cerca","97000","0","NA","24","2599","","97000","2599"
"Joven","Mujer","Propia","Soltero","Lejos","29600","3","NA","12","774","","29600","774"
"Mayor","Hombre","Propia","Casado","Cerca","71200","1","Media","12","638","","71200","638"
"Mayor","Mujer","Alquilada","Soltero","Lejos","15000","0","Baja","12","378","","15000","378"
"Adulto","Hombre","Alquilada","Casado","Lejos","64000","1","NA","6","1552","","64000","1552"
"Mayor","Hombre","Propia","Casado","Lejos","33000","0","Media","12","979","","33000","979"
"Mayor","Mujer","Propia","Casado","Cerca","74400","0","Alta","18","2479","","74400","2479"
"Joven","Hombre","Alquilada","Soltero","Lejos","20300","2","Baja","24","450","","20300","450"
"Adulto","Hombre","Alquilada","Casado","Cerca","68700","0","Alta","24","2763","","68700","2763"
"Joven","Hombre","Alquilada","Casado","Lejos","53600","3","Media","24","1560","","53600","1560"
"Mayor","Mujer","Propia","Soltero","Cerca","33200","0","Media","24","1037","","33200","1037"
"Joven","Mujer","Propia","Casado","Lejos","70900","0","NA","6","690","","70900","690"
"Joven","Mujer","Alquilada","Soltero","Cerca","23200","3","NA","24","770","","23200","770"
"Joven","Hombre","Propia","Soltero","Cerca","41400","0","Media","18","643","","41400","643"
"Joven","Mujer","Alquilada","Casado","Cerca","63200","0","Alta","24","1512","","63200","1512"
"Mayor","Hombre","Propia","Casado","Cerca","107400","0","Alta","12","1485","","107400","1485"
"Joven","Hombre","Alquilada","Soltero","Lejos","13900","0","NA","24","570","","13900","570"
"Adulto","Mujer","Alquilada","Casado","Cerca","79900","1","Media","18","1165","","79900","1165"
"Adulto","Hombre","Propia","Casado","Lejos","120000","3","Alta","18","1926","","120000","1926"
"Mayor","Hombre","Alquilada","Casado","Lejos","66300","0","NA","18","2243","","66300","2243"
"Adulto","Mujer","Propia","Soltero","Cerca","54400","3","Baja","18","342","","54400","342"
"Adulto","Hombre","Propia","Casado","Cerca","84200","0","Alta","24","1654","","84200","1654"
"Joven","Mujer","Alquilada","Casado","Cerca","13800","0","Baja","18","363","","13800","363"
"Joven","Mujer","Alquilada","Soltero","Lejos","14500","1","Baja","6","222","","14500","222"
"Joven","Hombre","Alquilada","Soltero","Cerca","21300","0","Baja","24","677","","21300","677"
"Mayor","Hombre","Alquilada","Soltero","Cerca","29000","0","Baja","6","482","","29000","482"
"Mayor","Mujer","Alquilada","Soltero","Cerca","14600","1","Baja","24","385","","14600","385"
"Mayor","Hombre","Propia","Soltero","Cerca","65300","0","Alta","18","1443","","65300","1443"
"Adulto","Mujer","Propia","Casado","Cerca","100800","1","Alta","24","1789","","100800","1789"
"Joven","Mujer","Alquilada","Soltero","Lejos","19800","1","Baja","24","991","","19800","991"
"Adulto","Hombre","Propia","Soltero","Cerca","56700","2","Baja","18","536","","56700","536"
"Mayor","Hombre","Alquilada","Casado","Cerca","90200","0","Alta","18","2183","","90200","2183"
"Joven","Hombre","Alquilada","Soltero","Cerca","26100","1","NA","6","494","","26100","494"
"Joven","Mujer","Alquilada","Soltero","Cerca","15900","0","Baja","18","503","","15900","503"
"Joven","Mujer","Alquilada","Soltero","Cerca","12700","3","Baja","12","87","","12700","87"
"Adulto","Hombre","Alquilada","Soltero","Cerca","43200","0","NA","24","917","","43200","917"
"Adulto","Mujer","Alquilada","Casado","Cerca","114100","1","NA","24","1976","","114100","1976"
"Adulto","Hombre","Propia","Casado","Cerca","96100","3","Baja","12","316","","96100","316"
"Adulto","Hombre","Propia","Casado","Cerca","97200","0","NA","12","1634","","97200","1634"
"Adulto","Hombre","Propia","Casado","Lejos","82400","2","Alta","24","2035","","82400","2035"
"Mayor","Hombre","Propia","Soltero","Lejos","62000","0","Alta","24","3293","","62000","3293"
"Joven","Mujer","Alquilada","Soltero","Cerca","13400","1","Baja","12","143","","13400","143"
"Adulto","Hombre","Propia","Casado","Cerca","108200","3","Baja","12","635","","108200","635"
"Joven","Mujer","Propia","Casado","Cerca","76200","0","Alta","12","979","","76200","979"
"Adulto","Hombre","Alquilada","Casado","Cerca","81800","1","Alta","18","1838","","81800","1838"
"Joven","Mujer","Alquilada","Soltero","Lejos","12000","0","Baja","6","264","","12000","264"
"Adulto","Hombre","Propia","Casado","Cerca","76100","0","NA","6","719","","76100","719"
"Adulto","Hombre","Propia","Casado","Cerca","82100","1","Alta","18","1308","","82100","1308"
"Mayor","Mujer","Propia","Casado","Cerca","103300","0","Alta","24","3378","","103300","3378"
"Joven","Hombre","Alquilada","Soltero","Cerca","14200","1","NA","24","400","","14200","400"
"Adulto","Mujer","Propia","Soltero","Lejos","47500","0","Alta","6","847","","47500","847"
"Joven","Mujer","Alquilada","Soltero","Cerca","31300","1","Baja","6","357","","31300","357"
"Joven","Mujer","Alquilada","Casado","Lejos","32700","1","NA","18","1276","","32700","1276"
"Adulto","Hombre","Propia","Casado","Cerca","72200","0","Alta","24","2492","","72200","2492"
"Adulto","Mujer","Propia","Casado","Cerca","107600","2","Media","12","1512","","107600","1512"
"Adulto","Hombre","Propia","Casado","Cerca","109900","2","Media","12","870","","109900","870"
"Adulto","Mujer","Propia","Casado","Cerca","65400","2","Media","24","938","","65400","938"
"Mayor","Mujer","Propia","Soltero","Cerca","43300","0","NA","12","1584","","43300","1584"
"Mayor","Mujer","Propia","Soltero","Cerca","51900","0","Media","12","1148","","51900","1148"
"Adulto","Mujer","Propia","Casado","Lejos","80600","0","Alta","24","2840","","80600","2840"
"Adulto","Mujer","Alquilada","Soltero","Cerca","42700","0","Media","12","827","","42700","827"
"Joven","Hombre","Alquilada","Soltero","Lejos","19000","0","NA","12","428","","19000","428"
"Joven","Mujer","Alquilada","Soltero","Cerca","14500","1","Baja","6","183","","14500","183"
"Adulto","Mujer","Propia","Casado","Cerca","68200","1","NA","6","818","","68200","818"
"Joven","Hombre","Alquilada","Casado","Cerca","36700","0","Media","12","731","","36700","731"
"Mayor","Hombre","Propia","Casado","Lejos","54600","0","Alta","24","2163","","54600","2163"
"Adulto","Hombre","Propia","Casado","Cerca","65900","1","Media","12","1081","","65900","1081"
"Joven","Hombre","Propia","Soltero","Lejos","39600","0","NA","12","1085","","39600","1085"
"Joven","Hombre","Alquilada","Casado","Lejos","67300","3","NA","6","1212","","67300","1212"
"Adulto","Hombre","Propia","Soltero","Cerca","59700","1","NA","18","1422","","59700","1422"
"Adulto","Mujer","Propia","Casado","Lejos","102800","2","Alta","18","2238","","102800","2238"
"Adulto","Mujer","Alquilada","Soltero","Cerca","34700","0","NA","18","1615","","34700","1615"
"Adulto","Hombre","Propia","Soltero","Cerca","50600","3","NA","6","713","","50600","713"
"Adulto","Hombre","Alquilada","Casado","Cerca","106700","2","Media","6","607","","106700","607"
"Adulto","Hombre","Alquilada","Soltero","Cerca","53900","1","Media","6","735","","53900","735"
"Joven","Mujer","Alquilada","Casado","Cerca","25500","2","Baja","6","139","","25500","139"
